	Millis	 V_cI A_cI	 V_cO A_cO	 V_MT A_MT
CS	306	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	437	54.5  0.0 	53.9  0.0 	 0.0  0.0 
CS	569	54.7  0.0 	53.9  4.0 	 0.0  0.0 
CS	900	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	b63	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	dc7	54.7  0.0 	53.9  0.0 	 0.6  0.0 
CS	115d	54.8  0.0 	53.9  0.0 	 0.0  0.0 
CS	128f	54.8  0.0 	53.9  0.0 	 0.0  0.0 
CS	14f3	54.2  0.8 	54.0  0.0 	 0.0  0.0 
CS	1889	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	1aed	54.7  0.4 	53.9  0.0 	 0.0  0.0 
CS	1c1f	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	1fbd	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	2219	54.7  1.2 	53.9  0.0 	 0.0  0.0 
CS	247d	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	2813	54.7  1.6 	53.9  0.0 	 0.0  0.0 
CS	2945	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	2ba8	54.7  0.0 	53.9  0.0 	 0.0  0.0 
CS	2f3f	54.7  3.7 	53.7  3.3 	 0.0  0.0 
CS	31a2	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	32d4	54.6  0.0 	53.9  0.0 	 0.0  0.5 
CS	379c	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	38ce	54.5  0.0 	53.9  0.0 	 0.0  0.0 
CS	3b33	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	3ec8	54.6  0.0 	53.9  0.0 	 1.0  0.0 
CS	412d	54.6  0.0 	53.6  0.0 	 0.0  0.0 
CS	425f	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	45f4	54.4  0.0 	53.9  0.0 	 0.0  0.0 
CS	4859	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	4abc	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	4e52	56.3  0.0 	53.9  0.0 	 0.0  0.0 
CS	4f84	54.6  0.0 	53.6  0.0 	 0.0  0.0 
CS	51e8	54.6  0.0 	53.9  0.5 	 0.0  0.0 
CS	557d	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	57e2	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	5914	54.7  1.6 	53.9  7.4 	 0.1  0.0 
CS	5ddc	54.5  0.0 	53.9  0.0 	 0.0  0.0 
CS	5f0e	54.6  0.0 	53.8  0.0 	 0.0  0.0 
CS	6172	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	6508	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	676c	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	689d	54.6  0.0 	53.9  0.0 	 0.0  0.3 
CS	6c34	55.8  0.0 	53.9  0.0 	 0.0  0.0 
CS	6e9c	54.7  0.0 	53.9  1.5 	 0.0  0.0 
CS	70fb	54.6  0.0 	53.9  2.0 	 0.0  0.0 
CS	7492	54.6  0.0 	54.3  0.0 	 0.0  0.0 
CS	75c4	54.6  0.0 	53.8  0.0 	 0.0  0.0 
CS	7827	54.6  0.0 	53.9  0.0 	 0.6  0.0 
CS	7bbe	54.6  0.0 	54.0  0.0 	 0.0  0.0 
CS	7e21	54.8  0.0 	53.9  0.0 	 0.2  0.0 
CS	7f53	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	841b	54.7  0.0 	53.9  0.0 	 0.2  0.0 
CS	854d	54.6  0.0 	53.9  0.0 	 0.0  1.6 
CS	87b2	54.6  0.0 	55.2  0.0 	 0.0  0.0 
CS	8b47	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	8dac	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	8ede	54.6  0.0 	53.9  0.0 	 0.1  0.0 
CS	9273	54.6  0.0 	53.9  7.1 	 0.0  0.0 
CS	94d8	54.6  0.0 	53.8  0.0 	 0.0  0.0 
CS	973c	54.6  0.0 	53.2  0.0 	 0.0  0.0 
CS	9ad1	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	9c04	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	9e68	54.6  1.2 	53.9  0.0 	 0.0  0.0 
CS	a1fd	53.9  0.0 	53.9  0.0 	 0.0  0.0 
CS	a594	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	a7f7	54.5  0.0 	53.9  0.0 	 0.3  0.0 
CS	aa5c	54.6  0.0 	53.9  0.0 	 0.0  1.7 
CS	adf1	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	af23	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	b188	54.5  0.0 	53.9  0.0 	 0.0  0.0 
CS	b51d	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	b782	54.6  0.0 	53.9  3.3 	 0.0  0.0 
CS	b8b4	54.6  0.0 	53.9  3.3 	 0.0  0.0 
CS	bc51	54.6  1.6 	53.9  0.0 	 0.0  0.0 
CS	beae	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	c112	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	c4a7	54.6  0.0 	53.6  0.0 	 0.0  0.0 
CS	c5da	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	c83e	54.6  0.0 	53.9  0.0 	 0.1  0.0 
CS	cbd3	54.4  1.6 	53.9  4.6 	 0.1  0.0 
CS	ce38	54.6  0.0 	53.9  0.0 	 0.0  0.0 
CS	cf6a	54.6  1.2 	53.9  0.0 	 0.0  0.0 
CS	d442	53.9  0.0 	53.8  0.0 	 0.0  0.0 
CS	d564	54.5  0.0 	53.8  0.0 	 0.0  0.0 
CS	d7c7	54.5  0.0 	55.3  0.0 	 0.0  0.0 
CS	db5e	54.4  0.0 	54.0  0.5 	 0.0  0.0 
CS	ddc1	54.4  0.0 	54.0  0.5 	 0.0  0.0 
CS	def3	54.4  0.0 	53.6  0.5 	 0.0  0.0 
CS	e3bc	54.3  0.0 	53.6  1.0 	 0.0  0.0 
CS	e4ed	54.1  0.0 	53.5  0.0 	 0.0  0.0 
CS	e751	54.2  0.0 	52.9  1.0 	 0.0  0.0 
CS	eae8	54.1  0.0 	53.4  1.5 	 0.0  0.0 
CS	ed4b	54.0  0.0 	53.3  1.5 	 0.2  0.0 
CS	ee7d	54.1  0.0 	53.3  1.5 	 0.0  2.3 
CS	f213	53.9  0.0 	53.3  1.5 	 0.0  0.0 
CS	f477	54.2  0.0 	53.3  1.5 	 0.2  0.0 
CS	f6dc	53.9  1.6 	53.3  1.0 	 0.0  0.0 
CS	fa71	53.9  0.0 	53.2  0.5 	 0.0  0.0 
CS	fba3	53.9  0.0 	53.2  0.0 	 0.0  0.0 
