	Millis	  V_m  A_m   W_m   Wh_mTmp_m Pres_m Vcap_m State_m	  V_s  A_s   W_s   Wh_sTmp_s Pres_s Vcap_s State_s
FC	0	54.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.7  0.4 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.7  1.2 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  1.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	 0.0  1.2 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  3.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	0	54.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 	53.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	d5ac	 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 	53.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	df6e	61.3  0.0  0.0  0.0 31.8  0.7 53.3  0.0 	54.0  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
