H182_noSync_v1.3.1
**
Starting Upv1.3.1
**
System Init.>>00.0V 00.0A 0000W 00000Wh 000.0C 000.0C 000.0C 000.0C 0.00B 00.0V 000.0C IN 00.0C 00 0
000 m
**
>>00.0V 00.0A 0000W 00000Wh 025.1C 032.4C 032.8C 031.8C 0.70B 59.0V 035.9C IN 00.0C 00 0000 0C 00 0
>>67.0V 00.0A 0000W 00000Wh 025.0C 032.5C 032.8C 031.8C 0.71B 53.5V 035.6C IN 00.0C 00 0000 0C 00 0
>>61.3V 00.0A 0000W 00000Wh 025.0C 032.4C 032.8C 031.7C 0.71B 53.3V 036.0C IN 00.0C 00 0000 0C 00 0
>>60.6V 00.0A 0000W 00000Wh 024.9C 032.3C 032.7C 031.6C 0.70B 53.5V 035.6C IN 00.0C 00 0000 0C 00 0
>>60.5V 00.0A 0000W 00000Wh 024.7C 032.1C 032.6C 031.5C 0.70B 53.3V 035.9C SS 00.0C 20 0200 0C 00 0
>>60.3V 00.0A 0000W 00000Wh 024.4C 031.8C 032.4C 031.2C 0.71B 53.0V 036.1C SS 00.0C 20 0200 0C 00 0
>>60.2V 00.0A 0000W 00000Wh 024.1C 031.4C 032.1C 030.9C 0.70B 51.6V 036.4C SS 00.0C 20 0200 0C 00 0
>>60.0V 00.0A 0000W 00000Wh 023.8C 031.0C 031.9C 030.5C 0.50B 53.3V 034.8C SS 00.0C 20 0200 0C 00 0
>>60.0V 00.0A 0000W 00000Wh 023.4C 030.7C 031.5C 030.1C 0.42B 52.9V 034.2C SS 00.0C 20 0200 0C 00 0
>>60.3V 00.0A 0000W 00000Wh 023.1C 030.3C 031.1C 029.7C 0.42B 53.0V 035.2C SS 00.0C 20 0200 0C 00 0
>>60.2V 00.0A 0000W 00000Wh 022.8C 030.2C 030.8C 029.4C 0.68B 52.9V 035.4C SS 00.0C 20 0200 0C 00 0
>>54.9V 00.0A 0000W 00000Wh 022.6C 030.1C 030.5C 029.3C 0.67B 53.1V 035.5C SS 00.0C 20 0200 0C 00 0
>>58.8V 00.0A 0000W 00000Wh 022.5C 030.0C 030.4C 029.1C 0.67B 52.7V 035.2C SS 00.0C 20 0200 0C 00 0
>>59.4V 00.0A 0000W 00000Wh 022.4C 030.0C 030.3C 029.0C 0.66B 53.2V 035.5C SS 00.0C 20 0200 0C 00 0
>>55.6V 00.0A 0000W 00000Wh 022.4C 030.0C 030.1C 029.0C 0.64B 53.0V 034.8C SS 00.0C 20 0200 0C 00 0
>>58.4V 00.5A 0033W 00000Wh 022.3C 030.0C 030.1C 029.0C 0.64B 53.0V 035.3C OP 41.1C 20 0203 0C 00 0
>>56.7V 01.4A 0083W 00000Wh 022.3C 030.0C 030.1C 029.0C 0.67B 53.0V 035.3C OP 41.3C 20 0209 0C 00 0
>>54.0V 00.8A 0045W 00000Wh 022.4C 030.0C 030.1C 029.1C 0.68B 53.0V 035.7C OP 41.2C 20 0205 0C 00 0
>>59.0V 00.6A 0040W 00000Wh 022.4C 030.0C 030.1C 029.1C 0.68B 53.0V 035.1C OP 41.1C 20 0204 0C 00 0
>>59.5V 00.7A 0042W 00000Wh 022.4C 030.1C 030.1C 029.2C 0.68B 53.0V 035.2C OP 41.1C 20 0204 0C 00 0
>>59.7V 00.7A 0041W 00000Wh 022.4C 030.1C 030.2C 029.2C 0.68B 53.0V 035.2C OP 41.1C 20 0204 0C 00 0
>>59.9V 00.6A 0040W 00000Wh 022.5C 030.1C 030.3C 029.2C 0.68B 53.0V 035.3C OP 41.1C 20 0204 0C 00 0
>>60.0V 00.7A 0042W 00000Wh 022.5C 030.1C 030.3C 029.3C 0.65B 53.1V 035.3C OP 41.1C 20 0204 0C 00 0
>>52.0V 02.3A 0121W 00000Wh 022.5C 030.2C 030.3C 029.4C 0.65B 53.1V 035.2C OP 41.5C 20 0214 0C 00 0
>>54.3V 02.5A 0136W 00000Wh 022.6C 030.3C 030.4C 029.4C 0.65B 53.1V 035.3C OP 41.6C 20 0216 0C 00 0
>>54.3V 02.3A 0125W 00000Wh 022.7C 030.3C 030.5C 029.5C 0.65B 53.1V 035.2C OP 41.5C 20 0215 0C 00 0
>>54.4V 02.1A 0119W 00000Wh 022.7C 030.3C 030.5C 029.6C 0.65B 53.1V 035.1C OP 41.5C 20 0214 0C 00 0
>>54.5V 02.1A 0117W 00000Wh 022.7C 030.4C 030.6C 029.6C 0.65B 53.1V 035.1C OP 41.5C 20 0214 0C 00 0
>>54.5V 02.0A 0110W 00000Wh 022.8C 030.4C 030.7C 029.7C 0.65B 53.4V 035.3C OP 41.4C 20 0213 0C 00 0
>>51.9V 01.9A 0103W 00000Wh 022.9C 030.5C 030.8C 029.8C 0.65B 53.4V 035.2C OP 41.4C 20 0213 0C 00 0
>>54.7V 02.1A 0116W 00000Wh 023.0C 030.5C 030.9C 029.9C 0.65B 53.4V 034.8C OP 41.5C 20 0214 0C 00 0
>>54.8V 01.9A 0107W 00000Wh 023.0C 030.7C 031.0C 030.0C 0.66B 53.4V 034.8C OP 41.4C 20 0213 0C 00 0
>>54.8V 01.8A 0103W 00000Wh 023.1C 030.7C 031.1C 030.1C 0.66B 53.4V 035.0C OP 41.4C 20 0212 0C 00 0
>>54.9V 01.8A 0100W 00000Wh 023.2C 030.7C 031.2C 030.2C 0.65B 53.4V 035.1C OP 41.4C 20 0212 0C 00 0
>>54.9V 01.7A 0097W 00000Wh 023.3C 030.8C 031.3C 030.3C 0.66B 53.8V 034.9C OP 41.4C 20 0211 0C 00 0
>>52.5V 01.7A 0089W 00000Wh 023.3C 030.9C 031.5C 030.4C 0.66B 53.8V 034.8C OP 41.4C 20 0211 0C 00 0
>>55.1V 01.9A 0104W 00000Wh 023.5C 031.0C 031.6C 030.5C 0.66B 53.8V 035.1C OP 41.4C 20 0212 0C 00 0
>>55.1V 01.7A 0095W 00000Wh 023.5C 031.0C 031.7C 030.7C 0.66B 53.8V 035.0C OP 41.4C 20 0211 0C 00 0
>>55.2V 01.6A 0092W 00000Wh 023.7C 031.1C 031.9C 030.7C 0.66B 53.8V 035.2C OP 41.4C 20 0211 0C 00 0
>>55.2V 01.6A 0089W 00000Wh 023.8C 031.1C 032.0C 030.9C 0.65B 53.8V 035.1C OP 41.3C 20 0210 0C 00 0
>>55.3V 01.5A 0087W 00000Wh 023.9C 031.3C 032.1C 031.0C 0.68B 54.4V 034.9C OP 41.3C 20 0210 0C 00 0
>>54.0V 00.7A 0039W 00000Wh 024.0C 031.3C 032.2C 031.1C 0.68B 54.4V 034.7C OP 41.1C 20 0205 0C 00 0
>>58.9V 00.6A 0037W 00000Wh 024.1C 031.4C 032.4C 031.2C 0.68B 54.4V 035.0C OP 41.1C 20 0204 0C 00 0
>>59.5V 00.6A 0040W 00000Wh 024.2C 031.5C 032.5C 031.3C 0.67B 54.4V 035.0C OP 41.1C 20 0204 0C 00 0
